symbol,name,market,securityType,isCommonShare
027970,027970,,STOCK,1
028050,028050,,STOCK,1
028080,028080,,STOCK,1
028100,028100,,STOCK,1
028260,028260,,STOCK,1
028300,028300,,STOCK,1
028670,028670,,STOCK,1
029460,029460,,STOCK,1
029480,029480,,STOCK,1
029530,029530,,STOCK,1
029780,029780,,STOCK,1
030000,030000,,STOCK,1
030190,030190,,STOCK,1
030200,030200,,STOCK,1
030210,030210,,STOCK,1
030350,030350,,STOCK,1
030520,030520,,STOCK,1
030530,030530,,STOCK,1
030610,030610,,STOCK,1
030720,030720,,STOCK,1
030960,030960,,STOCK,1
031210,031210,,STOCK,1
031310,031310,,STOCK,1
031330,031330,,STOCK,1
031430,031430,,STOCK,1
031510,031510,,STOCK,1
031820,031820,,STOCK,1
031860,031860,,STOCK,1
031980,031980,,STOCK,1
032080,032080,,STOCK,1
032190,032190,,STOCK,1
032280,032280,,STOCK,1
032300,032300,,STOCK,1
032350,032350,,STOCK,1
032500,032500,,STOCK,1
032540,032540,,STOCK,1
032560,032560,,STOCK,1
032580,032580,,STOCK,1
032620,032620,,STOCK,1
032640,032640,,STOCK,1
032680,032680,,STOCK,1
032750,032750,,STOCK,1
032790,032790,,STOCK,1
032800,032800,,STOCK,1
032820,032820,,STOCK,1
032830,032830,,STOCK,1
032850,032850,,STOCK,1
032860,032860,,STOCK,1
032940,032940,,STOCK,1
032960,032960,,STOCK,1
033050,033050,,STOCK,1
033100,033100,,STOCK,1
033130,033130,,STOCK,1
033160,033160,,STOCK,1
033170,033170,,STOCK,1
033200,033200,,STOCK,1
033230,033230,,STOCK,1
033240,033240,,STOCK,1
033250,033250,,STOCK,1
033270,033270,,STOCK,1
033290,033290,,STOCK,1
033310,033310,,STOCK,1
033320,033320,,STOCK,1
033340,033340,,STOCK,1
033500,033500,,STOCK,1
033530,033530,,STOCK,1
033540,033540,,STOCK,1
033560,033560,,STOCK,1
033640,033640,,STOCK,1
033780,033780,,STOCK,1
033790,033790,,STOCK,1
033830,033830,,STOCK,1
033920,033920,,STOCK,1
034020,034020,,STOCK,1
034120,034120,,STOCK,1
034220,034220,,STOCK,1
034230,034230,,STOCK,1
034310,034310,,STOCK,1
034590,034590,,STOCK,1
034730,034730,,STOCK,1
034810,034810,,STOCK,1
034830,034830,,STOCK,1
034940,034940,,STOCK,1
034950,034950,,STOCK,1
035000,035000,,STOCK,1
035080,035080,,STOCK,1
035150,035150,,STOCK,1
035200,035200,,STOCK,1
035250,035250,,STOCK,1
035290,035290,,STOCK,1
035420,035420,,STOCK,1
035460,035460,,STOCK,1
035510,035510,,STOCK,1
035600,035600,,STOCK,1
035610,035610,,STOCK,1
035620,035620,,STOCK,1
035720,035720,,STOCK,1
035760,035760,,STOCK,1
035810,035810,,STOCK,1
035890,035890,,STOCK,1
035900,035900,,STOCK,1
036000,036000,,STOCK,1
036010,036010,,STOCK,1
036030,036030,,STOCK,1
036090,036090,,STOCK,1
036120,036120,,STOCK,1
036170,036170,,STOCK,1
036190,036190,,STOCK,1
036200,036200,,STOCK,1
036220,036220,,STOCK,1
036420,036420,,STOCK,1
036460,036460,,STOCK,1
036480,036480,,STOCK,1
036530,036530,,STOCK,1
036540,036540,,STOCK,1
036560,036560,,STOCK,1
036570,036570,,STOCK,1
036580,036580,,STOCK,1
036620,036620,,STOCK,1
036630,036630,,STOCK,1
036640,036640,,STOCK,1
036670,036670,,STOCK,1
036690,036690,,STOCK,1
036710,036710,,STOCK,1
036800,036800,,STOCK,1
036810,036810,,STOCK,1
036830,036830,,STOCK,1
036890,036890,,STOCK,1
036930,036930,,STOCK,1
037030,037030,,STOCK,1
037070,037070,,STOCK,1
037230,037230,,STOCK,1
037270,037270,,STOCK,1
037330,037330,,STOCK,1
037350,037350,,STOCK,1
037370,037370,,STOCK,1
037400,037400,,STOCK,1
037440,037440,,STOCK,1
037460,037460,,STOCK,1
037560,037560,,STOCK,1
037710,037710,,STOCK,1
037760,037760,,STOCK,1
037950,037950,,STOCK,1
038010,038010,,STOCK,1
038060,038060,,STOCK,1
038070,038070,,STOCK,1
038110,038110,,STOCK,1
038290,038290,,STOCK,1
038390,038390,,STOCK,1
038460,038460,,STOCK,1
038500,038500,,STOCK,1
038530,038530,,STOCK,1
038540,038540,,STOCK,1
038620,038620,,STOCK,1
038680,038680,,STOCK,1
038870,038870,,STOCK,1
038880,038880,,STOCK,1
038950,038950,,STOCK,1
039010,039010,,STOCK,1
039020,039020,,STOCK,1
039030,039030,,STOCK,1
039130,039130,,STOCK,1
039200,039200,,STOCK,1
039240,039240,,STOCK,1
039290,039290,,STOCK,1
039310,039310,,STOCK,1
039340,039340,,STOCK,1
039420,039420,,STOCK,1
039440,039440,,STOCK,1
039490,039490,,STOCK,1
039560,039560,,STOCK,1
039570,039570,,STOCK,1
039610,039610,,STOCK,1
039740,039740,,STOCK,1
039830,039830,,STOCK,1
039840,039840,,STOCK,1
039860,039860,,STOCK,1
039980,039980,,STOCK,1
040160,040160,,STOCK,1
040300,040300,,STOCK,1
040350,040350,,STOCK,1
040420,040420,,STOCK,1
040610,040610,,STOCK,1
040910,040910,,STOCK,1
041020,041020,,STOCK,1
041190,041190,,STOCK,1
041440,041440,,STOCK,1
041460,041460,,STOCK,1
041510,041510,,STOCK,1
041520,041520,,STOCK,1
041590,041590,,STOCK,1
041650,041650,,STOCK,1
041830,041830,,STOCK,1
041910,041910,,STOCK,1
041920,041920,,STOCK,1
041930,041930,,STOCK,1
041960,041960,,STOCK,1
042000,042000,,STOCK,1
042040,042040,,STOCK,1
042110,042110,,STOCK,1
042370,042370,,STOCK,1
042420,042420,,STOCK,1
042500,042500,,STOCK,1
042510,042510,,STOCK,1
042520,042520,,STOCK,1
042600,042600,,STOCK,1
042660,042660,,STOCK,1
042700,042700,,STOCK,1
042940,042940,,STOCK,1
043100,043100,,STOCK,1
043150,043150,,STOCK,1
043200,043200,,STOCK,1
043220,043220,,STOCK,1
043260,043260,,STOCK,1
043340,043340,,STOCK,1
043360,043360,,STOCK,1
043370,043370,,STOCK,1
043590,043590,,STOCK,1
043610,043610,,STOCK,1
043650,043650,,STOCK,1
043710,043710,,STOCK,1
043910,043910,,STOCK,1
044180,044180,,STOCK,1
044340,044340,,STOCK,1
044380,044380,,STOCK,1
044450,044450,,STOCK,1
044480,044480,,STOCK,1
044490,044490,,STOCK,1
044780,044780,,STOCK,1
044820,044820,,STOCK,1
044960,044960,,STOCK,1
044990,044990,,STOCK,1
045060,045060,,STOCK,1
045100,045100,,STOCK,1
045300,045300,,STOCK,1
045340,045340,,STOCK,1
045390,045390,,STOCK,1
045510,045510,,STOCK,1
045520,045520,,STOCK,1
045660,045660,,STOCK,1
045970,045970,,STOCK,1
046120,046120,,STOCK,1
046210,046210,,STOCK,1
046310,046310,,STOCK,1
046390,046390,,STOCK,1
046440,046440,,STOCK,1
046890,046890,,STOCK,1
046940,046940,,STOCK,1
046970,046970,,STOCK,1
047040,047040,,STOCK,1
047050,047050,,STOCK,1
047080,047080,,STOCK,1
