신호ID,종목코드,종목명,전략,운용,시각,가격,결과,상세,후속결정,신호근거,등락률%,VWAP이격%,범위위치,체결강도,거래량배수,스프레드틱,5분후,15분후,30분후,60분후,60분최고,60분최저
086520#1327-S20260806150017,086520,에코프로,종가베팅,FullAuto,2026-08-06 15:00:17,84900,진입,,,"종가베팅: 등락 +3.7%, 고저범위 85% 위치, VWAP 83,245 위",3.66,1.99,0.855,839.7,0.67,1,,,,,,
214450#1328-S20260806150317,214450,파마리서치,종가베팅,FullAuto,2026-08-06 15:03:17,396500,진입,,,"종가베팅: 등락 +4.2%, 고저범위 81% 위치, VWAP 392,392 위",4.20,1.05,0.814,403.5,1.29,1,,,,,,
322000#1331-S20260807090510,322000,HD현대에너지솔루션,ORB,FullAuto,2026-08-07 09:05:10,148000,진입,,,"ORB5 고가 147,800 돌파 (범위 6.4%)",10.45,2.69,1,137.9,1.19,1,,,,,,
073240#1329-S20260807090530,073240,금호타이어,ORB,FullAuto,2026-08-07 09:05:30,8300,진입,,,"ORB5 고가 8,280 돌파 (범위 7.3%)",4.80,2.20,1,170.9,1.35,1,,,,,,
322000#1331-S20260807091420,322000,HD현대에너지솔루션,ORB,FullAuto,2026-08-07 09:14:20,148200,진입,,,"ORB5 고가 147,800 돌파 (범위 6.4%)",10.60,1.97,0.969,139.2,5.66,1,,,,,,
073240#1329-S20260807091825,073240,금호타이어,ORB,FullAuto,2026-08-07 09:18:25,8300,진입,,,"ORB5 고가 8,280 돌파 (범위 7.3%)",4.80,1.81,0.921,179.9,6.06,1,,,,,,
463020#1332-S20260807103900,463020,뉴엔AI,VWAP눌림,FullAuto,2026-08-07 10:39:00,12950,진입,,,"VWAP 12,727 재돌파, 직전봉 고가 12,930 돌파",14.50,1.76,0.767,151.2,0.56,1,,,,,,
012450#1334-S20260807150000,012450,한화에어로스페이스,종가베팅,FullAuto,2026-08-07 15:00:00,1097000,차단,매수 가능 수량 0 (투입금/리스크/예수금 확인),,"종가베팅: 등락 +5.7%, 고저범위 98% 위치, VWAP 1,075,446 위",5.68,2.00,0.982,927.6,1.09,1,1095000,1093000,,,1100000,1087000
003230#1333-S20260807150000,003230,삼양식품,종가베팅,FullAuto,2026-08-07 15:00:00,1309000,차단,매수 가능 수량 0 (투입금/리스크/예수금 확인),,"종가베팅: 등락 +6.5%, 고저범위 99% 위치, VWAP 1,283,554 위",6.51,1.98,0.989,975.2,0.78,1,1312000,1313000,,,1315000,1300000
096770#1335-S20260807151400,096770,SK이노베이션,종가베팅,FullAuto,2026-08-07 15:14:00,119900,진입,,,"종가베팅: 등락 +10.5%, 고저범위 97% 위치, VWAP 115,017 위",10.51,4.25,0.972,385.1,1.15,1,,,,,,
